City Name,Brand/Store Name,No. of Outlets,Full Address,Latitude,Longitude,Pincode,Area,Timing,isMall,MallName
,,,"No 12, Paper Mills Road, Peravallur-jawahar Nagar, Chennai - 600082 (Near Ram Nagar)",13.117994,80.2281053,600082,,,FALSE,
,,,"Shop No 6, East Coast Road, Sholinganallur, Chennai - 600119 (Near Akkarai Water Tank)",12.8959283,80.2473254,600119,,,FALSE,
,,,"No 49/50 No 148-154 Express Avenue 1st Floor, L Whites Road, Royapettah, Chennai - 600014 (Near Sketchers)",13.0587193,80.2639008,600014,,,FALSE,
,,,"No.5/314, Old Mahabalipuram Road, Karapakkam, Chennai - 600097 (Opp to Thalappakti)",12.9413193,80.2360925,600097,,,FALSE,
,,,"No 11, Brindavan Apartment, Khadar Nawaz Khan Road, Nungambakkam, Chennai - 600034 (Near Soch & Kalaniketan)",13.0608464,80.2493933,600034,,,FALSE,
,,,"No.GF & FF, 339/1-2A, 340A/2A, 1A, Old Mahabalipuram Road OMR, Okkiyam Thoraipakkam, Chennai - 600097",12.9340995,80.2332009,600097,,,FALSE,
,,,"122, Oppourtinity Towers, Aminjikarai, Chennai - 600030 (NEXT TO PANTALOON SHOWROOM)",13.0699152,80.2241482,600030,,,FALSE,
,,,"No 295, Sidco Estate, Ambattur, Chennai - 600053 (Aavin Booth)",13.109575,80.1679758,600053,,,FALSE,
,,,,,,,,,,
,Allen Solly,16,"No C 48, TNHB Office Complex, 2nd Avenue, Anna Nagar, Chennai - 600040 (Opposite Nalli Silks)",13.0850604,80.2149009,600040,,,FALSE,
,,,"No 21/174, Mount Poonamallee Road, Kattupakkam, Chennai - 600056 (Near Paradise Briyani, Swaminathan Nagar)",13.0424176,80.1235603,600056,,,FALSE,
,,,"No 49, Express Avenue, Shop No S 117 & 118, 1st Floor, Whites Road, Royapettah, Chennai - 600014 (Inside Ea)",13.0584546,80.2641844,600014,,,FALSE,
,,,"No 174 B, Arcot Road, Valasaravakkam, Chennai - 600087 (Opposite Landcar Apartment)",13.0436671,80.1829351,600087,,,FALSE,
,,,"No 105 & 106, Shop 3, Ground Floor, Raaj Towers, Nolambur Main Road, Mogappair West, Chennai - 600037 (Opposite Kamadhenu Jewellery)",13.0811694,80.1647632,600037,,,FALSE,
,,,"No F 46, VR Mall, Pillaiyar Koil Street, Jawaharlal Nehru Road, Anna Nagar, Chennai - 600040 (Near Vee Care Hospital)",13.0793931,80.19825,600040,,,TRUE,
,,,"No.19 Ground Floor, Anna Salai, Little Mount-saidapet, Chennai - 600015",13.0185451,80.2220243,600015,,,FALSE,
,,,"No 8 & 9, DR Ambedkar Nagar, Jawaharlal Nehru Road, 200ft Road, Kolathur, Chennai - 600099 (Opp to Srm Grand)",13.1256146,80.2060493,600099,,,FALSE,
,,,"No F 38, Phoenix Market City, 1st Floor, Velachery Main Road, Velacheri, Chennai - 600042 (Near Gurunanak College)",12.9905058,80.2169764,600042,,,FALSE,
,,,"No : 3, Thoraipakkam, 200 Feet Radial Road, Thoraipakkam, Chennai - 600097 (Next Toll Plaze)",12.9498652,80.2358357,600097,,,FALSE,
,,,"Navallur, Chennai - 600130",12.8459348,80.2265229,600130,,,FALSE,
,,,"G174 A, Ground Floor, 3rd Phase, Spencer Plaza, An, Tiruvatiswaranpet-Anna Salai, Chennai - 600002",13.0613,80.2611,600002,,,FALSE,
,,,"No.G-99, Spencer Plaza, Anna Salai, Chennai Ho, Chennai - 600001",13.0615102,80.2614606,600001,,,FALSE,
,,,"Plot No 1, Door No 45, 100 FtTaramani Link Road, Velacheri, Chennai - 600042",12.9990937,80.2075035,600042,,,FALSE,
,,,"No 121, Ground Floor & 1st Floor, GST Road, Chromepet, Chennai - 600044",12.95171,80.139821,600044,,,FALSE,
,,,"Shop No 66, Old No 35, TTK Road, Alwarpet, Chennai - 600018",13.042495,80.2595299,600018,,,FALSE,
,,,,,,,,,,
,American Eagle,2,"V R Chennai Mall, Ground Floor, Jawaharlal Nehru Road, Anna Nagar, Chennai - 600040",13.0805465,80.197132,600040,,,TRUE,
,,,"110, Arcot Road, Saligramam, Chennai - 600093",13.0476544,80.2024465,600093,,,FALSE,
,,,,,,,,,,
,AND,1,"No 49-50, Express Avenue Mall, 2nd Floor, Shop No S224, Whites Road Mount Road, Royapettah, Chennai - 600014 (Near Royapettah Hospital)",13.0584546,80.2641844,600014,,,TRUE,
,,,,,,,,,,
,Anita Dongre,2,"Second Floor, Whites Road, Royapettah, Chennai - 600 014 - 600014 Read more at: https://www.dealerservicecenter.in/list/store/house-of-anita-dongre/tamil-nadu/chennai",13.0575279,80.2609666,600014,,,FALSE,
